url,section,subsection,template,templateName,disposition
"https://about.kaiserpermanente.org","(home)","","A1","Home / section landing","migrate"
"https://about.kaiserpermanente.org/news","news","","A3","News hub / archive listing","migrate"
"https://about.kaiserpermanente.org/news/press-release-archive/high-quality-care","news","press-release-archive","A2","News article / press release","migrate"
"https://about.kaiserpermanente.org/news/press-release-archive/paul-minardi-md-appointed-to-lead-new-kp-medical-foundation","news","press-release-archive","A2","News article / press release","migrate"
"https://about.kaiserpermanente.org/news/press-release-archive/kaiser-foundation-health-plan-hospitals-2020-financial-results","news","press-release-archive","A2","News article / press release","migrate"
"https://about.kaiserpermanente.org/news/press-release-archive/real-time-alerts-associated-with-lower-mortality","news","press-release-archive","A2","News article / press release","migrate"
"https://about.kaiserpermanente.org/news/press-release-archive/protecting-health-and-safety-through-vaccination","news","press-release-archive","A2","News article / press release","migrate"
"https://about.kaiserpermanente.org/news/press-release-archive/early-control-of-blood-sugar-key-for-gestational-diabetes","news","press-release-archive","A2","News article / press release","migrate"
"https://about.kaiserpermanente.org/news/press-release-archive/specialty-health-care-funding-will-serve-low-income-patients","news","press-release-archive","A2","News article / press release","migrate"
"https://about.kaiserpermanente.org/news/press-release-archive/promoting-social-emotional-health-of-staff-and-students","news","press-release-archive","A2","News article / press release","migrate"
"https://about.kaiserpermanente.org/news/press-release-archive/new-south-lynnwood-park-creates-healthy-play-space","news","press-release-archive","A2","News article / press release","migrate"
"https://about.kaiserpermanente.org/news/press-release-archive/omicron-variant-infections-less-severe-than-delta","news","press-release-archive","A2","News article / press release","migrate"
"https://about.kaiserpermanente.org/news/press-release-archive/research-study-will-inform-the-future-of-cancer-prevention","news","press-release-archive","A2","News article / press release","migrate"
"https://about.kaiserpermanente.org/news/press-release-archive/ukrainian-relief-giving-campaign-launched","news","press-release-archive","A2","News article / press release","migrate"
"https://about.kaiserpermanente.org/news/press-release-archive/study-looks-at-moderna-covid-19-vaccine-effectiveness","news","press-release-archive","A2","News article / press release","migrate"
"https://about.kaiserpermanente.org/news/press-release-archive/3-doses-of-pfizer-covid-19-vaccine-better-than-2","news","press-release-archive","A2","News article / press release","migrate"
"https://about.kaiserpermanente.org/news/press-release-archive/kaiser-foundation-health-plan-and-hospitals-report-2021-financia","news","press-release-archive","A2","News article / press release","migrate"
"https://about.kaiserpermanente.org/news/press-release-archive/kaiser-permanente-is-named-among-worlds-most-ethical-companies-for-fifth-time","news","press-release-archive","A2","News article / press release","migrate"
"https://about.kaiserpermanente.org/news/press-release-archive/kaiser-permanente-and-geisinger-come-together-to-launch-risant-health--and-expand-access-to-valuebased-care","news","press-release-archive","A2","News article / press release","migrate"
"https://about.kaiserpermanente.org/news/press-release-archive/researching-climate-and-health-solutions","news","press-release-archive","A2","News article / press release","migrate"
"https://about.kaiserpermanente.org/news/press-release-archive/current-air-pollution-standards-tied-to-higher-heart-risks","news","press-release-archive","A2","News article / press release","migrate"
"https://about.kaiserpermanente.org/news/press-release-archive/kaiser-foundation-health-plan-and-hospitals-report-2022-financial-results","news","press-release-archive","A2","News article / press release","migrate"
"https://about.kaiserpermanente.org/news/press-release-archive/angela-dowling-to-lead-kaiser-permanente-in-washington","news","press-release-archive","A2","News article / press release","migrate"
"https://about.kaiserpermanente.org/news/press-release-archive/dr-linda-tolbert-selected-as-executive-medical-director-for-the-washington-permanente-medical-group","news","press-release-archive","A2","News article / press release","migrate"
"https://about.kaiserpermanente.org/news/press-release-archive/kaiser-permanente-hospitals-rated-among-nations-best","news","press-release-archive","A2","News article / press release","migrate"
"https://about.kaiserpermanente.org/news/press-release-archive/kaiser-permanente-names-new-southern-california-and-hawaii-regional-president","news","press-release-archive","A2","News article / press release","migrate"
"https://about.kaiserpermanente.org/news/press-release-archive/the-highestrated-plans-everywhere-kaiser-permanente-serves","news","press-release-archive","A2","News article / press release","migrate"
"https://about.kaiserpermanente.org/news/press-release-archive/kaiser-permanente-appoints-greg-holmes-chief-human-resources-officer","news","press-release-archive","A2","News article / press release","migrate"
"https://about.kaiserpermanente.org/news/press-release-archive/paxlovid-associated-with-lower-risk-of-hospital-admission","news","press-release-archive","A2","News article / press release","migrate"
"https://about.kaiserpermanente.org/news/press-release-archive/extra-pounds-put-kids-at-higher-risk-for-hypertension","news","press-release-archive","A2","News article / press release","migrate"
"https://about.kaiserpermanente.org/news/press-release-archive/covid19-vaccination-no-serious-side-effects-in-young-children","news","press-release-archive","A2","News article / press release","migrate"
"https://about.kaiserpermanente.org/news/press-release-archive/kaiser-permanente-hiring-10000-new-staff-for-coalition-jobs","news","press-release-archive","A2","News article / press release","migrate"
"https://about.kaiserpermanente.org/news/press-release-archive/washington-permanente-medical-group-honored-by-ama","news","press-release-archive","A2","News article / press release","migrate"
"https://about.kaiserpermanente.org/news/press-release-archive/kaiser-permanente-expands-offerings-to-reach-more-coloradans","news","press-release-archive","A2","News article / press release","migrate"
"https://about.kaiserpermanente.org/news/press-release-archive/kaiser-permanente-doctors-make-up-26-of-all-top-doctors","news","press-release-archive","A2","News article / press release","migrate"
"https://about.kaiserpermanente.org/news/press-release-archive/sunnyside-medical-center-rated-a-best-maternity-hospital","news","press-release-archive","A2","News article / press release","migrate"
"https://about.kaiserpermanente.org/news/press-release-archive/national-recognition-for-cancer-care","news","press-release-archive","A2","News article / press release","migrate"
"https://about.kaiserpermanente.org/news/press-release-archive/the-top-ranked-medical-group-in-washington-state","news","press-release-archive","A2","News article / press release","migrate"
"https://about.kaiserpermanente.org/news/press-release-archive/national-recognition-for-high-quality-maternity-care","news","press-release-archive","A2","News article / press release","migrate"
"https://about.kaiserpermanente.org/news/press-release-archive/top-marks-for-customer-satisfaction","news","press-release-archive","A2","News article / press release","migrate"
"https://about.kaiserpermanente.org/news/press-release-archive/2024-rose-parade-float-theme-is-symphony-of-you","news","press-release-archive","A2","News article / press release","migrate"
"https://about.kaiserpermanente.org/news/press-release-archive/collaboration-with-instacart-to-expand-nutritious-food-access","news","press-release-archive","A2","News article / press release","migrate"
"https://about.kaiserpermanente.org/news/press-release-archive/kaiser-permanente-cancer-survival-rates-higher","news","press-release-archive","A2","News article / press release","migrate"
"https://about.kaiserpermanente.org/news/press-release-archive/portland-hospitals-named-among-best-for-maternity-care","news","press-release-archive","A2","News article / press release","migrate"
"https://about.kaiserpermanente.org/news/press-release-archive/us-news-world-report-recognizes-moanalua-medical-center","news","press-release-archive","A2","News article / press release","migrate"
"https://about.kaiserpermanente.org/news/press-release-archive/new-medicare-ppo-plan-expands-options-for-seniors","news","press-release-archive","A2","News article / press release","migrate"
"https://about.kaiserpermanente.org/news/press-release-archive/2024-rose-parade-participants-showcase-synchronicity-between-caregivers-and-patients","news","press-release-archive","A2","News article / press release","migrate"
"https://about.kaiserpermanente.org/news/press-release-archive/2024-rose-parade-float-wins-president-award","news","press-release-archive","A2","News article / press release","migrate"
"https://about.kaiserpermanente.org/news/press-release-archive/moanalua-medical-center-receives-national-recognitions","news","press-release-archive","A2","News article / press release","migrate"
"https://about.kaiserpermanente.org/news/press-release-archive/kaiser-foundation-health-plan-and-hospitals-report-2023-financial-results","news","press-release-archive","A2","News article / press release","migrate"
"https://about.kaiserpermanente.org/news/press-release-archive/top-ranked-for-quality-care-in-washington-state","news","press-release-archive","A2","News article / press release","migrate"
"https://about.kaiserpermanente.org/news/press-release-archive/17-awards-for-quality-care","news","press-release-archive","A2","News article / press release","migrate"
"https://about.kaiserpermanente.org/news/press-release-archive/kaiser-permanente-members-gain-access-to-boulder-community-health","news","press-release-archive","A2","News article / press release","migrate"
